State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature,Precipitaion,Humidity,Soil_Type
Maharashtra,AHMEDNAGAR,1997,Autumn     ,Maize,1,1113,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Arhar/Tur,17600,6300,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Bajra,274100,152800,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Gram,40800,18600,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Jowar,900,1100,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Maize,4400,4700,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Moong(Green Gram),10200,900,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Pulses total,451,130,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Ragi,2600,2100,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900,7200,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Sugarcane,45900,38940,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Total foodgrain,3384,1836,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Urad,1600,800,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Jowar,598400,217000,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Maize,6200,9100,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Other  Rabi pulses,60,3,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Wheat,79700,87100,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Summer     ,Maize,1100,1900,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1997,Whole Year ,Cotton(lint),98,17900,24.243,42.3484,84,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Arhar/Tur,18800,9700,23.1,8.7838,70,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Bajra,302400,243900,23.1,8.7838,70,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Castor seed,400,100,23.1,8.7838,70,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Cotton(lint),12100,19900,23.1,8.7838,70,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Groundnut,7100,6200,23.1,8.7838,70,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Jowar,300,500,23.1,8.7838,70,Sandy
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Maize,5800,12500,23.1,8.7838,70,Sandy
